Hybridization REF	TCGA-B2-3923-01B-10R-A27D-13	TCGA-B2-3923-01B-10R-A27D-13	TCGA-B2-3923-01B-10R-A27D-13	TCGA-B2-3924-01B-03R-A27D-13	TCGA-B2-3924-01B-03R-A27D-13	TCGA-B2-3924-01B-03R-A27D-13	TCGA-B2-5633-01B-04R-A27D-13	TCGA-B2-5633-01B-04R-A27D-13	TCGA-B2-5633-01B-04R-A27D-13	TCGA-B2-5635-01B-04R-A27D-13	TCGA-B2-5635-01B-04R-A27D-13	TCGA-B2-5635-01B-04R-A27D-13
miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-mir-125b-2	119	35.661756	N	370	40.453698	N	300	53.315789	N	279	29.014185	N
hsa-mir-126	8280	2481.339012	N	72648	7942.919613	N	57922	10293.857079	N	88559	9209.559997	N
hsa-mir-1260	0	0.000000	N	2	0.218669	N	1	0.177719	N	1	0.103993	N
hsa-mir-1260b	2	0.599357	N	8	0.874675	N	1	0.177719	N	2	0.207987	N
hsa-mir-1261	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1262	3	0.899036	N	3	0.328003	N	6	1.066316	N	7	0.727954	N
hsa-mir-1263	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1264	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1265	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1266	24	7.192287	N	48	5.248047	N	19	3.376667	N	15	1.559902	N
hsa-mir-1267	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1268	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1269	23	6.892608	N	36	3.936035	N	87	15.461579	N	17	1.767889	N
hsa-mir-127	1122	336.239417	N	1448	158.316094	N	1166	207.220699	N	2801	291.285782	N
hsa-mir-1270-1	4	1.198714	N	186	20.336183	N	53	9.419123	N	72	7.487532	N
hsa-mir-1270-2	0	0.000000	N	200	21.866864	N	59	10.485438	N	74	7.695519	N
hsa-mir-1271	7	2.097750	N	252	27.552248	N	176	31.278596	N	117	12.167239	N
hsa-mir-1272	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1273	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1273c	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1273d	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1274a	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1274b	264	79.115157	N	855	93.480843	N	1715	304.788593	N	561	58.340351	N
hsa-mir-1275	2	0.599357	N	22	2.405355	N	2	0.355439	N	4	0.415974	N
hsa-mir-1276	0	0.000000	N	0	0.000000	N	1	0.177719	N	1	0.103993	N
hsa-mir-1277	2	0.599357	N	1	0.109334	N	9	1.599474	N	3	0.311980	N
hsa-mir-1278	0	0.000000	N	1	0.109334	N	0	0.000000	N	0	0.000000	N
hsa-mir-1279	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-128-1	144	43.153722	N	2328	254.530295	N	912	162.079998	N	3294	342.554575	N
hsa-mir-128-2	117	35.062399	N	1663	181.822973	N	697	123.870350	N	2284	237.521144	N
hsa-mir-1280	0	0.000000	N	0	0.000000	N	1	0.177719	N	0	0.000000	N
hsa-mir-1281	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1282	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N	0	0.000000	N	0	0.000000	N	1	0.103993	N
hsa-mir-1283-2	0	0.000000	N	0	0.000000	N	0	0.000000	N	2	0.207987	N
hsa-mir-1284	0	0.000000	N	3	0.328003	N	5	0.888596	N	2	0.207987	N
hsa-mir-1285-1	0	0.000000	N	0	0.000000	N	1	0.177719	N	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1286	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1287	34	10.189073	N	222	24.272219	N	244	43.363508	N	188	19.550777	N
hsa-mir-1288	0	0.000000	N	4	0.437337	N	3	0.533158	N	2	0.207987	N
hsa-mir-1289-1	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-129-1	4	1.198714	N	8	0.874675	N	151	26.835614	N	10	1.039935	N
hsa-mir-129-2	11	3.296465	N	2	0.218669	N	316	56.159298	N	11	1.143928	N
hsa-mir-1290	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1291	6	1.798072	N	25	2.733358	N	30	5.331579	N	24	2.495844	N
hsa-mir-1292	0	0.000000	N	6	0.656006	N	4	0.710877	N	5	0.519967	N
hsa-mir-1293	1	0.299679	N	1	0.109334	N	0	0.000000	N	1	0.103993	N
hsa-mir-1294	2	0.599357	N	3	0.328003	N	6	1.066316	N	3	0.311980	N
hsa-mir-1295	0	0.000000	N	59	6.450725	N	8	1.421754	N	7	0.727954	N
hsa-mir-1296	57	17.081682	N	255	27.880251	N	188	33.411228	N	132	13.727141	N
hsa-mir-1297	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1298	1	0.299679	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1299	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1301	9	2.697108	N	103	11.261435	N	79	14.039824	N	93	9.671395	N
hsa-mir-1302-1	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N	0	0.000000	N	1	0.177719	N	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1303	0	0.000000	N	0	0.000000	N	0	0.000000	N	1	0.103993	N
hsa-mir-1304	1	0.299679	N	3	0.328003	N	3	0.533158	N	1	0.103993	N
